no,9x,s_drc,k_drc,i_drc,g_drc,pn,ss,ds,ys,bs,ns,edb_s,edb_d,edb_y,edb_b,edb_n,trh_s,trh_d,trh_y,trh_b,trh_n,cog_s,cog_d,cog_y,cog_b,cog_n,din_s,din_d,din_y,din_b,din_n,mat_s,mat_d,mat_y,mat_b,mat_n,fiz_s,fiz_d,fiz_y,fiz_b,fiz_n,kim_s,kim_d,kim_y,kim_b,kim_n,biy_s,biy_d,biy_y,biy_b,biy_n
103,9A,14,41,41,1082,325.78,100,63,20,17,58.0,20,7,10,3,4.5,8,7,1,0,6.75,8,5,2,1,4.5,4,4,0,0,4.0,30,20,3,7,19.25,12,8,2,2,7.5,10,6,2,2,5.5,8,6,0,2,6.0
198,9B,11,42,42,1100,324.885,100,63,29,8,55.75,20,14,5,1,12.75,8,5,3,0,4.25,8,5,1,2,4.75,4,3,0,1,3.0,30,15,13,2,11.75,12,8,4,0,7.0,10,8,2,0,7.5,8,5,1,2,4.75
135,9A,15,43,43,1135,323.15,100,62,27,11,55.25,20,13,4,3,12.0,8,6,2,0,5.5,8,3,3,2,2.25,4,4,0,0,4.0,30,16,8,6,14.0,12,8,4,0,7.0,10,7,3,0,6.25,8,5,3,0,4.25
283,9C,18,44,44,1137,323.125,100,64,35,1,55.25,20,13,7,0,11.25,8,5,3,0,4.25,8,4,4,0,3.0,4,3,1,0,2.75,30,20,9,1,17.75,12,9,3,0,8.25,10,5,5,0,3.75,8,5,3,0,4.25
104,9A,16,45,45,1155,321.81,100,62,30,8,54.5,20,14,6,0,12.5,8,8,0,0,8.0,8,2,4,2,1.0,4,2,2,0,1.5,30,18,8,4,16.0,12,9,3,0,8.25,10,7,3,0,6.25,8,2,4,2,1.0
105,9A,17,46,46,1173,321.135,100,63,29,8,55.75,20,11,8,1,9.0,8,6,2,0,5.5,8,6,1,1,5.75,4,4,0,0,4.0,30,15,11,4,12.25,12,9,3,0,8.25,10,6,2,2,5.5,8,6,2,0,5.5
106,9A,18,47,47,1243,317.61,100,59,20,21,54.0,20,13,5,2,11.75,8,6,2,0,5.5,8,3,2,3,2.5,4,3,0,1,3.0,30,14,3,13,13.25,12,8,4,0,7.0,10,6,2,2,5.5,8,6,2,0,5.5
187,9B,12,48,48,1254,317.075,100,58,20,22,53.0,20,14,5,1,12.75,8,6,2,0,5.5,8,7,0,1,7.0,4,2,2,0,1.5,30,14,6,10,12.5,12,9,2,1,8.5,10,4,2,4,3.5,8,2,1,5,1.75
13,9A,19,49,49,1259,316.98,100,62,33,5,53.75,20,13,7,0,11.25,8,6,2,0,5.5,8,3,4,1,2.0,4,3,1,0,2.75,30,18,9,3,15.75,12,6,5,1,4.75,10,7,3,0,6.25,8,6,2,0,5.5
184,9B,13,50,50,1296,315.135,100,62,32,6,54.0,20,12,8,0,10.0,8,5,3,0,4.25,8,7,1,0,6.75,4,3,1,0,2.75,30,14,12,4,11.0,12,8,4,0,7.0,10,5,3,2,4.25,8,8,0,0,8.0
123,9A,20,51,51,1329,313.46,100,60,20,20,55.0,20,8,6,6,6.5,8,7,1,0,6.75,8,6,1,1,5.75,4,4,0,0,4.0,30,11,8,11,9.0,12,10,1,1,9.75,10,9,1,0,8.75,8,5,2,1,4.5
208,9B,14,52,52,1338,312.9,100,60,26,14,53.5,20,11,9,0,8.75,8,6,2,0,5.5,8,5,2,1,4.5,4,2,2,0,1.5,30,16,1,13,15.75,12,7,5,0,5.75,10,7,3,0,6.25,8,6,2,0,5.5
152,9B,15,53,53,1371,311.525,100,59,28,13,52.0,20,11,5,4,9.75,8,8,0,0,8.0,8,5,3,0,4.25,4,3,1,0,2.75,30,17,4,9,16.0,12,5,7,0,3.25,10,4,6,0,2.5,8,6,2,0,5.5
335,9C,19,54,54,1396,310.005,100,59,22,19,53.5,20,8,8,4,6.0,8,8,0,0,8.0,8,6,1,1,5.75,4,0,0,4,0.0,30,17,4,9,16.0,12,8,4,0,7.0,10,7,2,1,6.5,8,5,3,0,4.25
114,9A,21,55,55,1409,309.425,100,58,21,21,52.75,20,10,4,6,9.0,8,6,2,0,5.5,8,4,3,1,3.25,4,2,2,0,1.5,30,16,5,9,14.75,12,7,3,2,6.25,10,7,1,2,6.75,8,6,1,1,5.75
125,9A,22,56,56,1452,307.275,100,59,35,6,50.25,20,14,6,0,12.5,8,7,1,0,6.75,8,4,4,0,3.0,4,3,1,0,2.75,30,16,8,6,14.0,12,5,7,0,3.25,10,6,4,0,5.0,8,4,4,0,3.0
110,9A,23,57,57,1453,307.24,100,57,23,20,51.25,20,14,3,3,13.25,8,5,1,2,4.75,8,4,2,2,3.5,4,2,1,1,1.75,30,11,10,9,8.5,12,7,4,1,6.0,10,9,1,0,8.75,8,5,1,2,4.75
154,9B,16,58,58,1482,306.065,100,57,29,14,49.75,20,14,4,2,13.0,8,6,2,0,5.5,8,6,2,0,5.5,4,3,1,0,2.75,30,14,7,9,12.25,12,5,7,0,3.25,10,4,6,0,2.5,8,5,0,3,5.0
168,9B,17,59,59,1568,301.93,100,58,30,12,50.5,20,10,9,1,7.75,8,8,0,0,8.0,8,3,3,2,2.25,4,4,0,0,4.0,30,16,6,8,14.5,12,5,6,1,3.5,10,6,4,0,5.0,8,6,2,0,5.5
199,9B,18,60,60,1576,301.665,100,57,29,14,49.75,20,13,6,1,11.5,8,7,1,0,6.75,8,3,2,3,2.5,4,4,0,0,4.0,30,12,11,7,9.25,12,9,2,1,8.5,10,4,5,1,2.75,8,5,2,1,4.5
204,9B,19,61,61,1667,297.765,100,59,31,10,51.25,20,7,10,3,4.5,8,7,1,0,6.75,8,5,2,1,4.5,4,2,2,0,1.5,30,16,11,3,13.25,12,10,1,1,9.75,10,6,3,1,5.25,8,6,1,1,5.75
201,9B,20,62,62,1682,297.175,100,58,31,11,50.25,20,9,9,2,6.75,8,7,1,0,6.75,8,5,1,2,4.75,4,3,0,1,3.0,30,13,11,6,10.25,12,9,3,0,8.25,10,6,4,0,5.0,8,6,2,0,5.5
20,9A,24,63,63,1690,296.785,100,56,31,13,48.25,20,13,5,2,11.75,8,4,4,0,3.0,8,3,5,0,1.75,4,4,0,0,4.0,30,15,6,9,13.5,12,7,5,0,5.75,10,6,3,1,5.25,8,4,3,1,3.25
197,9B,21,64,64,1832,289.745,100,55,30,15,47.5,20,10,8,2,8.0,8,3,5,0,1.75,8,4,2,2,3.5,4,3,1,0,2.75,30,19,9,2,16.75,12,7,2,3,6.5,10,8,2,0,7.5,8,1,1,6,0.75
340,9C,20,65,65,1895,286.785,100,56,37,7,46.75,20,10,9,1,7.75,8,5,3,0,4.25,8,3,4,1,2.0,4,3,1,0,2.75,30,18,9,3,15.75,12,9,2,1,8.5,10,4,5,1,2.75,8,4,4,0,3.0
277,9C,21,66,66,1906,286.205,100,55,34,11,46.5,20,11,9,0,8.75,8,6,2,0,5.5,8,4,3,1,3.25,4,2,1,1,1.75,30,14,8,8,12.0,12,9,3,0,8.25,10,4,5,1,2.75,8,5,3,0,4.25
170,9B,22,67,67,1967,282.46,100,50,23,27,44.25,20,12,3,5,11.25,8,6,2,0,5.5,8,3,4,1,2.0,4,3,1,0,2.75,30,14,7,9,12.25,12,8,2,2,7.5,10,3,2,5,2.5,8,1,2,5,0.5
271,9C,22,68,68,1986,281.155,100,53,35,12,44.25,20,13,7,0,11.25,8,7,1,0,6.75,8,5,2,1,4.5,4,4,0,0,4.0,30,8,12,10,5.0,12,8,4,0,7.0,10,4,5,1,2.75,8,4,4,0,3.0
157,9B,23,70,70,2247,267.975,100,47,23,30,41.25,20,9,5,6,7.75,8,7,1,0,6.75,8,3,2,3,2.5,4,2,1,1,1.75,30,15,5,10,13.75,12,6,1,5,5.75,10,2,6,2,0.5,8,3,2,3,2.5
111,9A,26,72,72,2390,260.595,100,46,29,25,38.75,20,11,6,3,9.5,8,5,1,2,4.75,8,4,3,1,3.25,4,2,1,1,1.75,30,14,7,9,12.25,12,7,3,2,6.25,10,2,5,3,0.75,8,1,3,4,0.25
